#DB,#Model,#Mment,#Shots,#Temp,#Deviation
Transparent_FB.db,1,Probe 2-3-2 ,1,100.0,0.2146902901980714
Transparent_FB.db,1,Probe 2-3-2 ,2,100.0,0.2216967067629369
Transparent_FB.db,1,Probe 2-3-2 ,3,100.0,0.2203221874638319
Transparent_FB.db,1,Probe 2-3-2 ,4,100.0,0.2220962157412334
Transparent_FB.db,1,Probe 2-3-2 ,5,100.0,0.2181017246273056
Transparent_FB.db,1,Probe 2-3-2 ,6,150.0,0.2239249951266522
Transparent_FB.db,1,Probe 2-3-2 ,7,150.0,0.2254736022116115
Transparent_FB.db,1,Probe 2-3-2 ,8,150.0,0.2254208245864497
Transparent_FB.db,1,Probe 2-3-2 ,9,150.0,0.2227796895560312
Transparent_FB.db,1,Probe 2-3-2 ,10,150.0,0.2218491155177009
Transparent_FB.db,1,Probe 2-3-2 ,11,200.0,0.2283356106566929
Transparent_FB.db,1,Probe 2-3-2 ,12,200.0,0.231576175879268
Transparent_FB.db,1,Probe 2-3-2 ,13,200.0,0.2298549813395294
Transparent_FB.db,1,Probe 2-3-2 ,14,200.0,0.2288588580355599
Transparent_FB.db,1,Probe 2-3-2 ,15,200.0,0.2303307397884464
Transparent_FB.db,1,Probe 2-3-2 ,16,25.0,0.2141137149197685
Transparent_FB.db,1,Probe 2-3-2 ,17,25.0,0.2111530550081193
Transparent_FB.db,1,Probe 2-3-2 ,18,25.0,0.2013571475725093
Transparent_FB.db,1,Probe 2-3-2 ,19,25.0,0.2060213290613048
Transparent_FB.db,1,Probe 2-3-2 ,20,25.0,0.2124190864970681
Transparent_FB.db,1,Probe 2-3-2 ,21,250.0,0.2353905443788586
Transparent_FB.db,1,Probe 2-3-2 ,22,250.0,0.234601764866662
Transparent_FB.db,1,Probe 2-3-2 ,23,250.0,0.2356484144549513
Transparent_FB.db,1,Probe 2-3-2 ,24,250.0,0.2363971205805752
Transparent_FB.db,1,Probe 2-3-2 ,25,250.0,0.2362158585284637
Transparent_FB.db,1,Probe 2-3-2 ,26,300.0,0.2400003605869951
Transparent_FB.db,1,Probe 2-3-2 ,27,300.0,0.2430568001545996
Transparent_FB.db,1,Probe 2-3-2 ,28,300.0,0.2416648972233634
Transparent_FB.db,1,Probe 2-3-2 ,29,300.0,0.242122643923673
Transparent_FB.db,1,Probe 2-3-2 ,30,300.0,0.2421851853800432
Transparent_FB.db,1,Probe 2-3-2 ,31,350.0,0.2475230879170102
Transparent_FB.db,1,Probe 2-3-2 ,32,350.0,0.2498638349024307
Transparent_FB.db,1,Probe 2-3-2 ,33,350.0,0.2515470207203316
Transparent_FB.db,1,Probe 2-3-2 ,34,350.0,0.2496392527751936
Transparent_FB.db,1,Probe 2-3-2 ,35,350.0,0.2506779421178671
Transparent_FB.db,1,Probe 2-3-2 ,36,400.0,0.2539056617474478
Transparent_FB.db,1,Probe 2-3-2 ,37,400.0,0.256302547414921
Transparent_FB.db,1,Probe 2-3-2 ,38,50.0,0.2146094129808138
Transparent_FB.db,1,Probe 2-3-2 ,39,50.0,0.2069198713245399
Transparent_FB.db,1,Probe 2-3-2 ,40,50.0,0.2087485958490689
Transparent_FB.db,1,Probe 2-3-2 ,41,50.0,0.2094503128224698
Transparent_FB.db,1,Probe 2-3-2 ,42,50.0,0.2128408896344813
Transparent_FB.db,1,Probe 1,1,100.0,0.0060178350538757
Transparent_FB.db,1,Probe 1,2,100.0,0.0068655022370975
Transparent_FB.db,1,Probe 1,3,100.0,0.0079498262454311
Transparent_FB.db,1,Probe 1,4,100.0,0.0140976816216269
Transparent_FB.db,1,Probe 1,5,100.0,0.0026917929264793
Transparent_FB.db,1,Probe 1,6,100.0,0.0120655927638309
Transparent_FB.db,1,Probe 1,7,100.0,0.0174230331264784
Transparent_FB.db,1,Probe 1,8,100.0,0.0092580852836219
Transparent_FB.db,1,Probe 1,9,150.0,0.034613832858114
Transparent_FB.db,1,Probe 1,10,150.0,0.0089600138029473
Transparent_FB.db,1,Probe 1,11,150.0,0.0072114983835667
Transparent_FB.db,1,Probe 1,12,150.0,0.0215955095147672
Transparent_FB.db,1,Probe 1,13,150.0,0.0610623815023585
Transparent_FB.db,1,Probe 1,14,150.0,0.0350024487939132
Transparent_FB.db,1,Probe 1,15,150.0,0.0243705014243313
Transparent_FB.db,1,Probe 1,16,150.0,0.0620007753545014
Transparent_FB.db,1,Probe 1,17,200.0,0.052293910558324
Transparent_FB.db,1,Probe 1,18,200.0,0.0337847642741506
Transparent_FB.db,1,Probe 1,19,200.0,0.0129613462760329
Transparent_FB.db,1,Probe 1,20,200.0,0.0019831960240603
Transparent_FB.db,1,Probe 1,21,200.0,0.0366657648961408
Transparent_FB.db,1,Probe 1,22,200.0,0.0216980171397329
Transparent_FB.db,1,Probe 1,23,200.0,0.029008378935688
Transparent_FB.db,1,Probe 1,24,200.0,0.0723474108553832
Transparent_FB.db,1,Probe 1,25,25.0,0.0081285249356166
Transparent_FB.db,1,Probe 1,26,25.0,0.0174985544468788
Transparent_FB.db,1,Probe 1,27,25.0,0.0073680293801567
Transparent_FB.db,1,Probe 1,28,25.0,0.0089826154370749
Transparent_FB.db,1,Probe 1,29,25.0,0.0073728498598837
Transparent_FB.db,1,Probe 1,30,25.0,0.0127156595822008
Transparent_FB.db,1,Probe 1,31,25.0,0.0081608235084371
Transparent_FB.db,1,Probe 1,32,25.0,0.0114629693845189
Transparent_FB.db,1,Probe 1,33,250.0,0.023788001692157
Transparent_FB.db,1,Probe 1,34,250.0,0.0243174815632607
Transparent_FB.db,1,Probe 1,35,250.0,0.0245610819354289
Transparent_FB.db,1,Probe 1,36,250.0,0.0563592208179264
Transparent_FB.db,1,Probe 1,37,250.0,0.0074378189708899
Transparent_FB.db,1,Probe 1,38,250.0,0.047973086815096
Transparent_FB.db,1,Probe 1,39,250.0,0.0126419349967838
Transparent_FB.db,1,Probe 1,40,250.0,0.0076270646272615
Transparent_FB.db,1,Probe 1,41,300.0,0.0373214446821643
Transparent_FB.db,1,Probe 1,42,300.0,0.0373150590844957
Transparent_FB.db,1,Probe 1,43,300.0,0.0379111303616259
Transparent_FB.db,1,Probe 1,44,300.0,0.034350453739063
Transparent_FB.db,1,Probe 1,45,300.0,0.039087467063271
Transparent_FB.db,1,Probe 1,46,300.0,0.0305524596596846
Transparent_FB.db,1,Probe 1,47,300.0,0.0458871548260038
Transparent_FB.db,1,Probe 1,48,300.0,0.043365713595769
Transparent_FB.db,1,Probe 1,49,350.0,0.0532282208435022
Transparent_FB.db,1,Probe 1,50,350.0,0.0557998920603259
Transparent_FB.db,1,Probe 1,51,350.0,0.0549833817206506
Transparent_FB.db,1,Probe 1,52,350.0,0.0531059684808112
